consent	1.1_grad_area	1.2_masters_area	1.3_masters_sub_area	1.4_doc_year	1.5_research_subarea	1.6_state_doc	1.7_has_posdoc	1.8_worked_unpaid	1.9_worked_paid	1.10_international_scholarship	1.11_years_international	1.12_SQB_affiliate	1.13_residency	1.14_work_sector	2.1_posdoc_experience	2.2_chage_institution_posdoc	2.3_international_motivation	2.4_institution_posdoc	2.5_posdoc_financing	2.6_posgrad_supervision	2.7_supervision_total	2.8_teaching_exp	2.9_posdoc_satisfaction	2.10_rights_duties_postdocs	3.1_months_worked_postdoc	3.2_institutions_postdoc	3.3_funding_postdoc	3.4_infrastructure_research	3.5_mentoring_experience	3.6_total_supervised	3.7_projects_coordination	3.8_funding_sources_projects	3.9_extension_projects: Number of extension projects coordinated	4.1_current_professor	4.2_current_position	4.3_start_teaching_experience	4.4_support_during_postgrad	4.5_total_months_postdoc	4.6_institutions_postgrad	4.7_funding_postgrad_postdoc	4.8_infrastructure_workplace	4.9_opportunity_research_extension	4.10_bolsist_students	4.11_total_supervised_students	5.1_publications_peer_reviewed	5.2_publications_last_5_years	5.3_publications_first_author	5.4_publications_corresponding_author	5.5_international_collaborations	5.6_patents_deposited	5.7_H_index_scopus	5.8_ethical_standards_workplace	5.9_witnessed_ethical_misconduct	5.10_disagreement_authorship_order	5.11_communication_channels	5.12_long_term_career_plans	5.13_satisfaction_career_plan	5.14_job_search_status	5.15_main_skills_develop	5.16_skills_developed_during_studies	6.1_age_range	6.2_language_proficiency	6.3_marital_status_co-habitation	6.4_children_status	6.5_state_born	6.6_gender_identity	6.7_self_classification	7.1_survey_result_newsletter
Li e concordo em participar da pesquisa	Química	Química Inorgânica	Química Inorgânica	Prefiro não responder																																																																
Li e concordo em participar da pesquisa	Química	Química Orgânica	Química Analítica	Prefiro não responder																																																																
Li e concordo em participar da pesquisa	Química	Físico-Química	Físico-Química	2019	"Catálise;Físico-Química;Química de Materiais"	Pará (PA)	Nenhum	Sim, acima de 12 meses	Sim, sem carteira assinada	Não	Nenhum	Não	Amapá (AP)	Professor Universitário (Setor Público)											Não fiz pós-doutorado	Universidade federal	CAPES	Prefiro não responder	Sim, aluno de iniciação científica	3/jan	4/fev	"CNPq;Fundações públicas universitárias"	Nenhum												20-24	15-19	9/mai	4/jan	14/out	Nenhuma	7/abr	Prefiro não responder	Não	Não, concordo com a ordem de autoria de todas as minhas publicações	Presencial	"No setor público, como professor de Ensino Superior;No setor público, como professor de Ensino Superior e Pesquisador;No setor público, em cargos técnicos e administrativos de nível superior"	Satisfeito	Não	"Escrita de artigos científicos;Escrita de projetos;Ensino/Lecionar;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Produtividade pessoal"	"Escrita de artigos científicos;Escrita de projetos;Ensino/Lecionar;Orientação de alunos/pós-graduandos"	Acima de 40	Português	Casado(a)	Sim, um filho	Pará (PA)	Homem cisgênero	Pardo(a)	Sim
Li e concordo em participar da pesquisa	Química	Química Inorgânica	Química Inorgânica	2014	"Química de Materiais;Química Inorgânica"	São Paulo (SP)	Nenhum	Sim, acima de 12 meses	Sim, com carteira assinada	Não	Nenhum	Não	Rio Grande do Sul (RS)	Trabalho informal																															4/jan	Nenhuma	Nenhuma	Nenhuma	Nenhuma	Nenhuma	0-3	Não se aplica	Não	Prefiro não responder	Webpage	No setor público, como professor de Ensino Superior	Sem plano de carreira	Sim, na academia	Escrita de artigos científicos	"Ensino/Lecionar;Colaboração e trabalho de equipe;Rede de contatos"	Acima de 40	"Português;Inglês;Espanhol"	Solteiro(a)	Não	Rio Grande do Sul (RS)	Homem cisgênero	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Físico-Química	Outros	2012	Química de Materiais	Rio Grande do Norte (RN)	Nenhum	Não	Sim, com carteira assinada	Não	Nenhum	Já fui associado (estou inativo)	Rio Grande do Norte (RN)	Professor de Ensino Básico e/ou Técnico/Tecnológico (setor Público)																				Rede Federal (Instituto Federal, CEFET, entre outros)	Professor concursado	Após a pós-graduação	Prefiro não responder	Não fiz pós-doutorado	Universidade federal	CAPES	Parcialmente satisfeito	Sim	Sim, de Ensino Médio e Superior	Acima de 6	4/jan	4/jan	4/jan	4/jan	Nenhuma	Nenhuma	Prefiro não responder	Não sei	Sim	Sim, em algumas das minhas publicações	Webpage	No setor privado, como professor de Ensino Superior e Pesquisador	Parcialmente satisfeito	Não	"Orientação de alunos/pós-graduandos;Outros"	"Escrita de artigos científicos;Escrita de projetos;Ensino/Lecionar"	Acima de 40	"Português;Inglês"	Casado(a)	Sim, dois filhos	Rio Grande do Norte (RN)	Mulher cisgênera	Pardo(a)	Sim
Li e concordo em participar da pesquisa	Química	Físico-Química	Físico-Química	2019	"Catálise;Físico-Química"	Rio Grande do Norte (RN)	Sim, um pós-doutorado	Sim, até 6 meses	Sim, com carteira assinada	Não	Nenhum	Já fui associado (estou inativo)	Rio Grande do Norte (RN)	Professor Universitário (Setor Público)											Acima de 48 meses	Universidade federal	CAPES	Satisfeito	"Sim, aluno de iniciação científica;Sim, mestrandos;Sim, doutorandos;Sim, pós-doutorandos"	Acima de 13	Acima de 10	Parcerias com o Setor Privado	3												30-35	20-24	Nenhuma	15-19	9/mai	2/jan	15/dez	Não	Sim	Sim, em algumas das minhas publicações	"Instagram;Outro"	"No setor público, como professor de Ensino Superior;No setor público, como Pesquisador"	Satisfeito	Não	"Liderança e gerenciamento laboratorial;Gerenciamento de carreira;Rede de contatos"	"Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Transferência de conhecimento, inovação e empreendedorismo"	Acima de 40	"Inglês;Espanhol"	Divorciado(a)	Sim, dois filhos	Paraíba (PB)	Mulher cisgênera	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Química Orgânica	Físico-Química	2015	Catálise	Rio Grande do Norte (RN)	Nenhum	Sim, até 6 meses	Sim, com carteira assinada	Prefiro não responder	Prefiro não responder	Não	Distrito Federal (DF)	Professor de Ensino Básico e/ou Técnico/Tecnológico (setor Público)																				Rede Federal (Instituto Federal, CEFET, entre outros)	Professor concursado	Durante a pós-graduação	Não pude contar com nenhum tipo de licença	Não fiz pós-doutorado	Universidade federal	CAPES	Satisfeito	Não	Sim, de Ensino Médio	4	4/jan	Nenhuma	4/jan	4/jan	Nenhuma	Nenhuma	Prefiro não responder	Prefiro não responder	Sim	Sim, em algumas das minhas publicações	E-mail	No setor público, como professor da rede de Ensino Fundamental e Médio	Satisfeito	Não	"Escrita de artigos científicos;Escrita de projetos"	"Ensino/Lecionar;Produtividade pessoal"	Acima de 40	"Português;Inglês;Espanhol"	Casado(a)	Sim, dois filhos	Rio Grande do Sul (RS)	Mulher cisgênera	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Química Analítica	Química Analítica	2012	Eletroquímica e Eletroanalítica	São Paulo (SP)	Sim, três pós-doutorados	Não	Não	Sim, no pós-doutorado	De 6 a 12 meses	Já fui associado (estou inativo)	Ceará (CE)	Professor Universitário (Setor Público)											24-36 meses	"Universidade estadual;Institutos de pesquisa estrangeiros"	"CAPES;Fundações de amparo à pesquisa dos estados (FAPs)"	Não se aplica	Não	Nenhum	Nenhum	Não se aplica	Nenhum												9/mai	4/jan	4/jan	Nenhuma	4/jan	Nenhuma	11/ago	Sim	Não	Não, concordo com a ordem de autoria de todas as minhas publicações	E-mail	No setor público, como professor de Ensino Superior e Pesquisador	Parcialmente satisfeito	Sim, na academia	"Escrita de artigos científicos;Pesquisa interdisciplinar;Liderança e gerenciamento laboratorial;Gerenciamento de carreira;Produtividade pessoal"	"Escrita de artigos científicos;Pesquisa interdisciplinar;Rede de contatos;Produtividade pessoal;Comunicação e divulgação científica"	Acima de 40	"Português;Prefiro não responder"	Solteiro(a)	Não	Ceará (CE)	Mulher cisgênera	Preto(a)	Sim
Li e concordo em participar da pesquisa	Química	Química Orgânica	Ciências - Química	2019	Química de Materiais	Rio Grande do Sul (RS)	Nenhum	Não	Não	Não	Nenhum	Não	Rio Grande do Sul (RS)	Pesquisador (Setor Privado)																															9/mai	4/jan	4/jan	4/jan	Nenhuma	Nenhuma	0-3	Sim	Não	Sim, em algumas das minhas publicações	"Presencial;Telefone;E-mail;WhatsApp;Outro"	No setor privado, como professor de Ensino Superior	Satisfeito	Sim, em ambos (academia e fora dela)	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Pesquisa interdisciplinar;Conduta ética na pesquisa;Comunicação e divulgação científica"	"Escrita de artigos científicos;Conduta ética na pesquisa;Rede de contatos;Produtividade pessoal;Comunicação e divulgação científica"	Acima de 40	"Inglês;Espanhol"	Casado(a)	Sim, dois filhos	Rio Grande do Sul (RS)	Mulher cisgênera	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Química Inorgânica	Outros	Prefiro não responder																																																																
Li e concordo em participar da pesquisa	Química	Outros	Química Inorgânica	2014	Química de Materiais	Paraná (PR)	Sim, um pós-doutorado	Não	Não	Sim, no doutorado	Até 6 meses	Sim, sou associado	Minas Gerais (MG)	Professor Universitário (Setor Público)											12-24 meses	Universidade federal	CAPES	Completamente satisfeito	"Sim, aluno de iniciação científica;Sim, doutorandos"	Acima de 13	4/fev	Sem financiamento	Nenhum												15-19	9/mai	14/out	9/mai	4/jan	4/mar	7/abr	Sim	Sim	Não, concordo com a ordem de autoria de todas as minhas publicações	"Presencial;Telefone;E-mail;WhatsApp;Instagram;Webinários;Seminários"	No setor público, como professor de Ensino Superior e Pesquisador	Parcialmente satisfeito	Não	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Ensino/Lecionar;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Liderança e gerenciamento laboratorial;Equidade e diversidade;Rede de contatos;Produtividade pessoal;Transferência de conhecimento, inovação e empreendedorismo;Comunicação e divulgação científica"	"Escrita de artigos científicos;Escrita de projetos;Produtividade pessoal"	Acima de 40	"Português;Inglês;Italiano"	Solteiro(a)	Não	Paraná (PR)	Homem cisgênero	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Química Inorgânica	Ciências - Química	2014	Química de Materiais	Ceará (CE)	Nenhum	Não	Sim, sem carteira assinada	Não	Nenhum	Sim, sou associado	Paraíba (PB)	Professor de Ensino Básico e/ou Técnico/Tecnológico (setor Público)																				Rede Federal (Instituto Federal, CEFET, entre outros)	Professor concursado	Durante a pós-graduação	Não pude contar com nenhum tipo de licença	Não fiz pós-doutorado	Universidade federal	CAPES	Satisfeito	Sim	Sim, de Ensino Médio	Acima de 6	9/mai	4/jan	9/mai	4/jan	4/jan	Nenhuma	7/abr	Sim	Não	Não, concordo com a ordem de autoria de todas as minhas publicações	Presencial	"No setor público, como professor da rede de Ensino Fundamental e Médio;No setor público, como professor de Ensino Superior e Pesquisador"	Satisfeito	Não	"Escrita de projetos;Colaboração e trabalho de equipe;Equidade e diversidade;Produtividade pessoal;Transferência de conhecimento, inovação e empreendedorismo;Comunicação e divulgação científica"	"Escrita de artigos científicos;Ensino/Lecionar;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Liderança e gerenciamento laboratorial;Conduta ética na pesquisa;Equidade e diversidade;Rede de contatos;Produtividade pessoal"	Acima de 40	Português	Solteiro(a)	Não	Minas Gerais (MG)	Homem cisgênero	Pardo(a)	Sim
Li e concordo em participar da pesquisa	Farmácia, Farmácia-Bioquímica	Química Orgânica	Química Orgânica	2012	"Química Medicinal;Química Orgânica"	São Paulo (SP)	Sim, um pós-doutorado	Não	Não	Sim, no doutorado	De 12 a 18 meses	Já fui associado (estou inativo)	Rio de Janeiro (RJ)	Pesquisador (Setor Privado)																															15-19	4/jan	9/mai	4/jan	4/jan	2/jan	11/ago	Sim	Sim	Sim, em algumas das minhas publicações	"Presencial;Telefone;E-mail;WhatsApp"	"No setor privado, como pesquisador;No setor público, como Pesquisador"	Satisfeito	Não	"Escrita de artigos científicos;Rede de contatos;Produtividade pessoal;Comunicação e divulgação científica"	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Liderança e gerenciamento laboratorial;Conduta ética na pesquisa;Rede de contatos;Produtividade pessoal;Comunicação e divulgação científica"	Acima de 40	"Português;Inglês"	Casado(a)	Sim, um filho	Rio de Janeiro (RJ)	Homem cisgênero	Pardo(a)	Sim
Li e concordo em participar da pesquisa	Química	Fiz doutorado direto	Química Inorgânica	2016	"Catálise;Química Inorgânica"	São Paulo (SP)	Sim, um pós-doutorado	Não	Sim, com carteira assinada	Não	Acima de 24 meses	Não	Minas Gerais (MG)	Doutor ou pós-doutor sem remuneração	0-12 meses	Sim, mudei de instituição mas permaneci no estado onde me titulei como doutor	Não se aplica	Universidade estadual	"CNPq;Fundações de amparo à pesquisa dos estados (FAPs)"	Sim, alunos de iniciação científica	1	Não	Insatisfeito	"Recolhimento de impostos (Ex. imposto de renda);Flexibilidade no contrato de trabalho (trabalhar fora do projeto de pesquisa/ensino);Seguro saúde;Seguro de vida;Afastamento remunerado por doença;Previdência social;Auxílio-transporte;Auxílio-alimentação;Outros"																					4/jan	4/jan	Nenhuma	Nenhuma	4/jan	2/jan	0-3	Sim	Sim	Sim, em algumas das minhas publicações	"Presencial;Telefone;E-mail;WhatsApp"	No setor público, como professor de Ensino Superior e Pesquisador	Parcialmente insatisfeito	Não	"Escrita de artigos científicos;Escrita de projetos;Ensino/Lecionar;Orientação de alunos/pós-graduandos;Gerenciamento de carreira;Rede de contatos;Produtividade pessoal"	Conduta ética na pesquisa	Acima de 40	"Português;Inglês"	Casado(a)	Sim, dois filhos	São Paulo (SP)	Homem cisgênero	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Outros	Química Analítica	2019	"Química Ambiental;Química Analítica"	Minas Gerais (MG)	Nenhum	Não	Sim, sem carteira assinada	Não	Nenhum	Já fui associado (estou inativo)	Amazonas (AM)	Professor de Ensino Básico e/ou Técnico/Tecnológico (setor Público)																				Escola (Ensino Fundamental e/ou Médio) pública	Professor concursado	Após a pós-graduação	Não pude contar com nenhum tipo de licença	Não fiz pós-doutorado	Universidade federal	CNPq	Insatisfeito	Não	Sim, de Ensino Médio	2	4/jan	4/jan	4/jan	Nenhuma	Nenhuma	Nenhuma	0-3	Parcialmente	Sim	Não, concordo com a ordem de autoria de todas as minhas publicações	Youtube	No setor público, como professor de Ensino Superior	Insatisfeito	Sim, na academia	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Produtividade pessoal;Transferência de conhecimento, inovação e empreendedorismo"	"Gerenciamento de projetos;Ensino/Lecionar;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Liderança e gerenciamento laboratorial;Rede de contatos;Produtividade pessoal;Transferência de conhecimento, inovação e empreendedorismo;Comunicação e divulgação científica"	Acima de 40	"Português;Inglês"	Casado(a)	Sim, dois filhos	Amazonas (AM)	Mulher cisgênera	Pardo(a)	Sim
Li e concordo em participar da pesquisa	Farmácia, Farmácia-Bioquímica	Química Orgânica	Química Orgânica	2012	Química Orgânica	Rio de Janeiro (RJ)	Sim, um pós-doutorado	Não	Sim, sem carteira assinada	Sim, no doutorado	Até 6 meses	Sim, sou associado	Rio de Janeiro (RJ)	Professor Universitário (Setor Público)											0-12 meses	Universidade federal	CNPq	Nem satisfeito, nem insatisfeito	"Sim, aluno de iniciação científica;Sim, mestrandos;Sim, doutorandos"	13/nov	6/abr	Fundações de amparo à pesquisa dos estados (FAPs)	Nenhum												15-19	9/mai	4/jan	4/jan	14/out	Nenhuma	11/ago	Não sei	Não	Sim, em algumas das minhas publicações	"Presencial;E-mail;WhatsApp;Instagram"	No setor público, como professor de Ensino Superior e Pesquisador	Parcialmente satisfeito	Não	"Escrita de artigos científicos;Escrita de projetos;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Comunicação e divulgação científica"	"Escrita de projetos;Orientação de alunos/pós-graduandos;Liderança e gerenciamento laboratorial;Comunicação e divulgação científica"	Acima de 40	Português	Casado(a)	Sim, dois filhos	Rio de Janeiro (RJ)	Homem cisgênero	Prefiro não me classificar	Sim
Li e concordo em participar da pesquisa	Farmácia, Farmácia-Bioquímica	Outros	Química Analítica	2019	Química Analítica	Espírito Santo (ES)	Sim, um pós-doutorado	Não	Não	Sim, no doutorado	Até 6 meses	Não	Fora do Brasil	Setor Privado mas não pesquisador-professor																															30-35	15-19	9/mai	Nenhuma	9/mai	Nenhuma	15/dez	Não se aplica	Sim	Sim, em algumas das minhas publicações	"Presencial;Telefone;E-mail"	No setor privado, fora da pesquisa	Satisfeito	Não	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Colaboração e trabalho de equipe;Liderança e gerenciamento laboratorial;Gerenciamento de carreira"	"Escrita de artigos científicos;Escrita de projetos;Colaboração e trabalho de equipe;Comunicação e divulgação científica"	Acima de 40	"Português;Inglês"	Casado(a)	Sim, um filho	Espírito Santo (ES)	Mulher cisgênera	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Fiz doutorado direto	Química Orgânica	2014	Produtos Naturais	São Paulo (SP)	Nenhum	Sim, de 6 a 12 meses	Não	Não	Nenhum	Não	São Paulo (SP)	Professor de Ensino Básico e/ou Técnico/Tecnológico (setor Público)																				"Escola (Ensino Fundamental e/ou Médio) pública;Escola (Ensino Fundamental e/ou Médio) privada"	Professor concursado	Após a pós-graduação	Prefiro não responder	Não fiz pós-doutorado	Universidade estadual	Fundações de amparo à pesquisa dos estados (FAPs)	Parcialmente satisfeito	Não	Não	Nenhum	4/jan	4/jan	4/jan	Nenhuma	4/jan	Nenhuma	0-3	Não se aplica	Prefiro não responder	Não, concordo com a ordem de autoria de todas as minhas publicações	"Presencial;Telefone;E-mail;WhatsApp"	"No setor público, como professor da rede de Ensino Fundamental e Médio;No setor público, como professor de Ensino Superior"	Parcialmente satisfeito	Sim, fora da academia	"Escrita de artigos científicos;Escrita de projetos;Ensino/Lecionar;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Conduta ética na pesquisa;Comunicação e divulgação científica"	"Escrita de artigos científicos;Pesquisa interdisciplinar;Comunicação e divulgação científica"	Acima de 40	"Português;Inglês"	Solteiro(a)	Não	São Paulo (SP)	Homem cisgênero	Pardo(a)	Sim
Li e concordo em participar da pesquisa	Química	Outros	Química Analítica	2015	Química Ambiental	Paraná (PR)	Nenhum	Não	Sim, com carteira assinada	Não	Nenhum	Não	Tocantins (TO)	Professor Universitário (Setor Público)											Não fiz pós-doutorado	Universidade estadual	Não realizei pós-doutorado	Parcialmente Satisfeito	"Sim, aluno de iniciação científica;Sim, mestrandos;Sim, doutorandos;Sim, pós-doutorandos"	Acima de 13	8/jun	"CAPES;CNPq;Fundações públicas universitárias;Fundações de amparo à pesquisa dos estados (FAPs)"	1												30-35	Acima de 35	Acima de 35	25-29	9/mai	Nenhuma	11/ago	Sim	Prefiro não responder	Sim, em algumas das minhas publicações	"Presencial;Telefone;E-mail;WhatsApp;Instagram"	No setor público, como professor de Ensino Superior e Pesquisador	Satisfeito	Não	"Escrita de artigos científicos;Escrita de projetos;Ensino/Lecionar;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar"	"Escrita de artigos científicos;Gerenciamento de projetos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Produtividade pessoal"	Acima de 40	Português	Casado(a)	Não	Paraná (PR)	Mulher cisgênera	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Química Inorgânica	Química Inorgânica	2014	"Fotoquímica;Química de Materiais;Química Inorgânica"	Minas Gerais (MG)	Sim, um pós-doutorado	Sim, até 6 meses	Sim, sem carteira assinada	Prefiro não responder	Prefiro não responder	Já fui associado (estou inativo)	Rio de Janeiro (RJ)	Professor Universitário (Setor Público)											0-12 meses	"Universidade estadual;Universidade federal"	CAPES	Parcialmente insatisfeito	"Sim, aluno de iniciação científica;Sim, mestrandos;Sim, doutorandos"	9/jul	8/jun	"CNPq;Financiamento do exterior/estrangeiro;Fundações de amparo à pesquisa dos estados (FAPs)"	Prefiro não responder												Acima de 35	Prefiro não responder	Prefiro não responder	Prefiro não responder	9/mai	Prefiro não responder	15/dez	Sim	Sim	Sim, em algumas das minhas publicações	"Presencial;Telefone;E-mail;Instagram;Webpage;Seminários"	No setor público, como professor de Ensino Superior e Pesquisador	Satisfeito	Não	Prefiro não responder	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Ensino/Lecionar;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Equidade e diversidade;Rede de contatos;Produtividade pessoal;Comunicação e divulgação científica"	Acima de 40	"Português;Inglês"	Casado(a)	Sim, dois filhos	Minas Gerais (MG)	Homem cisgênero	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Outros	Química Analítica	2019	Química Analítica	Espírito Santo (ES)	Nenhum	Não	Sim, sem carteira assinada	Não	Nenhum	Já fui associado (estou inativo)	Espírito Santo (ES)	Autônomo/Empresário/Empreendedor																															4/jan	4/jan	4/jan	4/jan	4/jan	Nenhuma	Prefiro não responder	Não sei	Prefiro não responder	Não, concordo com a ordem de autoria de todas as minhas publicações	Não se aplica	Empreendedor	Completamente Satisfeito	Não	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Orientação de alunos/pós-graduandos;Liderança e gerenciamento laboratorial;Conduta ética na pesquisa;Gerenciamento de carreira;Produtividade pessoal;Transferência de conhecimento, inovação e empreendedorismo"	"Escrita de artigos científicos;Escrita de projetos;Colaboração e trabalho de equipe;Rede de contatos"	Acima de 40	"Português;Inglês"	Casado(a)	Sim, dois filhos	Espírito Santo (ES)	Mulher cisgênera	Branco(a)	Não
Li e concordo em participar da pesquisa	Farmácia	Outros	Química Orgânica	2015	Produtos Naturais	São Paulo (SP)	Sim, acima de três pós-doutorados	Sim, acima de 12 meses	Sim, com carteira assinada	Sim, no doutorado e pós-doutorado	Acima de 24 meses	Sim, sou associado	Fora do Brasil	Pesquisador (Setor Público)																															Acima de 35	20-24	9/mai	Nenhuma	4/jan	Nenhuma	16-19	Sim	Sim	Não, concordo com a ordem de autoria de todas as minhas publicações	"Presencial;E-mail;WhatsApp"	No setor público, como professor de Ensino Superior e Pesquisador	Parcialmente insatisfeito	Sim, na academia	"Gerenciamento de projetos;Equidade e diversidade;Gerenciamento de carreira;Produtividade pessoal"	"Escrita de artigos científicos;Escrita de projetos;Ensino/Lecionar;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Conduta ética na pesquisa;Rede de contatos"	Acima de 40	"Português;Inglês"	Solteiro(a)	Não	São Paulo (SP)	Mulher cisgênera	Branco(a)	Sim
Li e concordo em participar da pesquisa	Farmácia, Farmácia-Bioquímica	Outros	Química Orgânica	2015	"Produtos Naturais;Química Orgânica"	São Paulo (SP)	Sim, acima de três pós-doutorados	Sim, acima de 12 meses	Sim, sem carteira assinada	Sim, no doutorado e pós-doutorado	Acima de 24 meses	Sim, sou associado	Fora do Brasil	Pesquisador (Setor Público)																															Acima de 35	20-24	9/mai	4/jan	9/mai	Nenhuma	16-19	Sim	Sim	Sim, em algumas das minhas publicações	"Presencial;E-mail;WhatsApp;Seminários"	No setor público, como professor de Ensino Superior e Pesquisador	Parcialmente insatisfeito	Prefiro não responder	"Escrita de projetos;Gerenciamento de projetos;Liderança e gerenciamento laboratorial;Gerenciamento de carreira;Produtividade pessoal"	"Escrita de artigos científicos;Escrita de projetos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Rede de contatos"	Acima de 40	"Português;Inglês"	Solteiro(a)	Não	São Paulo (SP)	Mulher cisgênera	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Química Orgânica	Química Orgânica	2015	Produtos Naturais	Minas Gerais (MG)	Sim, um pós-doutorado	Não	Não	Não	Nenhum	Sim, sou associado	Minas Gerais (MG)	Professor Universitário (Setor Público)											0-12 meses	Universidade federal	Fundações de amparo à pesquisa dos estados (FAPs)	Parcialmente Satisfeito	"Sim, aluno de iniciação científica;Sim, mestrandos;Sim, doutorandos"	11/set	2/jan	Fundações de amparo à pesquisa dos estados (FAPs)	2												Acima de 35	20-24	4/jan	4/jan	4/jan	Nenhuma	16-19	Sim	Não	Não, concordo com a ordem de autoria de todas as minhas publicações	"Presencial;Telefone;E-mail;WhatsApp;Instagram;Webpage;Youtube;Webinários;Seminários"	No setor público, como Pesquisador	Satisfeito	Não	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Ensino/Lecionar;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Liderança e gerenciamento laboratorial;Conduta ética na pesquisa;Equidade e diversidade;Gerenciamento de carreira;Rede de contatos;Produtividade pessoal;Transferência de conhecimento, inovação e empreendedorismo;Comunicação e divulgação científica"	"Escrita de artigos científicos;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Liderança e gerenciamento laboratorial;Conduta ética na pesquisa;Produtividade pessoal"	Acima de 40	"Português;Inglês;Espanhol"	Casado(a)	Não	São Paulo (SP)	Mulher cisgênera	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Química Orgânica	Química Inorgânica	2015	"Produtos Naturais;Química Ambiental;Química Analítica;Química de Materiais;Química Inorgânica;Química Orgânica;Outros"	São Paulo (SP)	Sim, três pós-doutorados	Sim, acima de 12 meses	Sim, sem carteira assinada	Sim, no doutorado	Até 6 meses	Não	São Paulo (SP)	Outros																															25-29	14/out	9/mai	9/mai	14/out	Nenhuma	11/ago	Não se aplica	Não	Sim, em algumas das minhas publicações	"Não se aplica;Outro"	"No setor privado, como professor de Ensino Superior;No setor privado, como professor de Ensino Superior e Pesquisador;No setor privado, como pesquisador;No setor público, como professor de Ensino Superior;No setor público, como professor de Ensino Superior e Pesquisador;No setor público, como Pesquisador"	Insatisfeito	Sim, tanto dentro quanto fora da academia, no Brasil ou no exterior.	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Conduta ética na pesquisa;Rede de contatos;Comunicação e divulgação científica"	"Escrita de artigos científicos;Pesquisa interdisciplinar"	Acima de 40	"Português;Inglês;Espanhol"	Casado(a)	Sim, um filho	Não se aplica	Prefiro não responder	Indígeno(a)	Sim
