consent	1.1_grad_area	1.2_masters_area	1.3_masters_sub_area	1.4_doc_year	1.5_research_subarea	1.6_state_doc	1.7_has_posdoc	1.8_worked_unpaid	1.9_worked_paid	1.10_international_scholarship	1.11_years_international	1.12_SQB_affiliate	1.13_residency	1.14_work_sector	2.1_posdoc_experience	2.2_chage_institution_posdoc	2.3_international_motivation	2.4_institution_posdoc	2.5_posdoc_financing	2.6_posgrad_supervision	2.7_supervision_total	2.8_teaching_exp	2.9_posdoc_satisfaction	2.10_rights_duties_postdocs	3.1_months_worked_postdoc	3.2_institutions_postdoc	3.3_funding_postdoc	3.4_infrastructure_research	3.5_mentoring_experience	3.6_total_supervised	3.7_projects_coordination	3.8_funding_sources_projects	3.9_extension_projects: Number of extension projects coordinated	4.1_current_professor	4.2_current_position	4.3_start_teaching_experience	4.4_support_during_postgrad	4.5_total_months_postdoc	4.6_institutions_postgrad	4.7_funding_postgrad_postdoc	4.8_infrastructure_workplace	4.9_opportunity_research_extension	4.10_bolsist_students	4.11_total_supervised_students	5.1_publications_peer_reviewed	5.2_publications_last_5_years	5.3_publications_first_author	5.4_publications_corresponding_author	5.5_international_collaborations	5.6_patents_deposited	5.7_H_index_scopus	5.8_ethical_standards_workplace	5.9_witnessed_ethical_misconduct	5.10_disagreement_authorship_order	5.11_communication_channels	5.12_long_term_career_plans	5.13_satisfaction_career_plan	5.14_job_search_status	5.15_main_skills_develop	5.16_skills_developed_during_studies	6.1_age_range	6.2_language_proficiency	6.3_marital_status_co-habitation	6.4_children_status	6.5_state_born	6.6_gender_identity	6.7_self_classification	7.1_survey_result_newsletter
Li e concordo em participar da pesquisa	Química	Química Inorgânica	Ensino em Química	2020	Ensino/Educação em Química	São Paulo (SP)	Nenhum	Não	Sim, com carteira assinada	Não	Nenhum	Já fui associado (estou inativo)	São Paulo (SP)	Professor de Ensino Básico e/ou Técnico/Tecnológico (setor Público)																				Escola (Ensino Fundamental e/ou Médio) pública	Professor concursado	Durante a pós-graduação	Não pude contar com nenhum tipo de licença	Não fiz pós-doutorado	Universidade estadual	Sem remuneração	Satisfeito	Sim	Não	Nenhum	4/jan	4/jan	4/jan	4/jan	Nenhuma	Nenhuma	0-3	Sim	Prefiro não responder	Não, concordo com a ordem de autoria de todas as minhas publicações	"Presencial;E-mail"	"No setor público, como professor de Ensino Superior;No setor público, como Pesquisador"	Insatisfeito	Sim, na academia	"Escrita de artigos científicos;Escrita de projetos"	"Ensino/Lecionar;Colaboração e trabalho de equipe;Comunicação e divulgação científica"	37-38	Inglês	Coabito(a)	Não	São Paulo (SP)	Mulher cisgênera	Pardo(a)	Sim
Li e concordo em participar da pesquisa	Química	Química Analítica	Ciências - Química	2015	Química Ambiental	São Paulo (SP)	Nenhum	Não	Não	Não	Nenhum	Sim, sou associado	Amazonas (AM)	Professor Universitário (Setor Público)											Não fiz pós-doutorado	Universidade estadual	Não realizei pós-doutorado	Parcialmente insatisfeito	"Sim, aluno de iniciação científica;Sim, mestrandos;Sim, doutorandos"	9/jul	6/abr	"CNPq;Fundações de amparo à pesquisa dos estados (FAPs)"	Nenhum												Acima de 35	14/out	14/out	14/out	Nenhuma	Nenhuma	16-19	Não	Sim	Não, concordo com a ordem de autoria de todas as minhas publicações	"E-mail;Webpage"	No setor público, como professor de Ensino Superior e Pesquisador	Parcialmente insatisfeito	Não	Pesquisa interdisciplinar	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Produtividade pessoal"	37-38	"Português;Inglês"	Casado(a)	Sim, um filho	Santa Catarina (SC)	Mulher cisgênera	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Química Analítica	Química Analítica	2014	"Química Ambiental;Química Analítica"	Rio Grande do Norte (RN)	Nenhum	Não	Não	Não	Nenhum	Já fui associado (estou inativo)	Rio Grande do Norte (RN)	Professor Universitário (Setor Público)											Não fiz pós-doutorado	Universidade federal	Não realizei pós-doutorado	Insatisfeito	Sim, aluno de iniciação científica	Acima de 13	Acima de 10	Sem financiamento	Nenhum												14/out	4/jan	4/jan	4/jan	Nenhuma	Nenhuma	Prefiro não responder	Não sei	Não	Não, concordo com a ordem de autoria de todas as minhas publicações	"Presencial;Telefone;E-mail"	No setor público, como professor de Ensino Superior	Insatisfeito	Não	"Pesquisa interdisciplinar;Produtividade pessoal;Transferência de conhecimento, inovação e empreendedorismo"	"Escrita de artigos científicos;Escrita de projetos;Colaboração e trabalho de equipe;Conduta ética na pesquisa"	37-38	Português	Casado(a)	Sim, dois filhos	Rio Grande do Norte (RN)	Homem cisgênero	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Química Analítica	Ensino em Química	2023	Ensino/Educação em Química	Minas Gerais (MG)	Nenhum	Sim, acima de 12 meses	Sim, sem carteira assinada	Não	Nenhum	Não	Minas Gerais (MG)	Professor de Ensino Básico e/ou Técnico/Tecnológico (setor Público)																				Escola (Ensino Fundamental e/ou Médio) pública	Professor em regime de contrato	Após a pós-graduação	Prefiro não responder	Não fiz pós-doutorado	Universidade federal	CAPES	Parcialmente satisfeito	Prefiro não responder	Não	Nenhum	4/jan	4/jan	4/jan	Nenhuma	4/jan	2/jan	20-23	Sim	Não	Não, concordo com a ordem de autoria de todas as minhas publicações	"Presencial;Telefone;E-mail;WhatsApp;Instagram;Webpage;Seminários"	No setor público, como professor de Ensino Superior	Parcialmente satisfeito	Sim, na academia	"Escrita de artigos científicos;Escrita de projetos;Ensino/Lecionar;Colaboração e trabalho de equipe;Produtividade pessoal;Comunicação e divulgação científica;Outros"	"Escrita de artigos científicos;Escrita de projetos;Ensino/Lecionar;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar"	37-38	"Português;Inglês"	Solteiro(a)	Não	Minas Gerais (MG)	Prefiro não responder	Pardo(a)	Sim
Li e concordo em participar da pesquisa	Química	Ensino em Química	Ensino em Química	2022	Ensino/Educação em Química	Minas Gerais (MG)	Nenhum	Não	Sim, com carteira assinada	Não	Nenhum	Já fui associado (estou inativo)	São Paulo (SP)	Professor Universitário (Setor Público)											Não fiz pós-doutorado	Universidade federal	"CAPES;CNPq"	Completamente satisfeito	Não	Nenhum	Nenhum	Não se aplica	Nenhum												14/out	14/out	14/out	Nenhuma	Nenhuma	Nenhuma	Prefiro não responder	Sim	Sim	Não, concordo com a ordem de autoria de todas as minhas publicações	"Presencial;E-mail;WhatsApp"	No setor público, como professor de Ensino Superior e Pesquisador	Satisfeito	Não	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Ensino/Lecionar;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Conduta ética na pesquisa;Equidade e diversidade;Rede de contatos;Comunicação e divulgação científica"	"Escrita de artigos científicos;Escrita de projetos;Ensino/Lecionar;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Conduta ética na pesquisa;Rede de contatos;Produtividade pessoal"	35-36	Português	Solteiro(a)	Não	Minas Gerais (MG)	Homem cisgênero	Branco(a)	Sim
Li e concordo em participar da pesquisa	Biomedicina	Outros	Outros	2014	Outros	Minas Gerais (MG)	Sim, um pós-doutorado	Não	Não	Sim, no doutorado e pós-doutorado	De 12 a 18 meses	Não	São Paulo (SP)	Professor Universitário (Setor Público)											Acima de 48 meses	"Universidade estadual;Universidade federal"	"Financiamento do exterior/estrangeiro;Fundações de amparo à pesquisa dos estados (FAPs)"	Completamente satisfeito	"Sim, aluno de iniciação científica;Sim, mestrandos"	5/mar	2/jan	"Financiamento do exterior/estrangeiro;Fundações de amparo à pesquisa dos estados (FAPs)"	Nenhum												Acima de 35	20-24	9/mai	4/jan	14/out	2/jan	20-23	Sim	Sim	Sim, em algumas das minhas publicações	"Presencial;Telefone;E-mail;WhatsApp;Webpage;Seminários"	No setor público, como professor de Ensino Superior	Satisfeito	Não	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Ensino/Lecionar;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Liderança e gerenciamento laboratorial;Conduta ética na pesquisa;Equidade e diversidade;Gerenciamento de carreira;Rede de contatos;Produtividade pessoal;Transferência de conhecimento, inovação e empreendedorismo;Comunicação e divulgação científica"	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Conduta ética na pesquisa;Equidade e diversidade;Rede de contatos;Transferência de conhecimento, inovação e empreendedorismo;Comunicação e divulgação científica"	35-36	"Português;Inglês"	Casado(a)	Sim, um filho	Minas Gerais (MG)	Mulher cisgênera	Pardo(a)	Sim
Li e concordo em participar da pesquisa	Química	Química Orgânica	Química Orgânica	2016	Produtos Naturais	Paraná (PR)	Sim, um pós-doutorado	Não	Não	Sim, no doutorado	De 18 a 24 meses	Sim, sou associado	Minas Gerais (MG)	Professor Universitário (Setor Público)											0-12 meses	Universidade federal	CNPq	Insatisfeito	"Sim, aluno de iniciação científica;Sim, mestrandos;Sim, doutorandos"	Acima de 13	2/jan	"Fundações públicas universitárias;Fundações de amparo à pesquisa dos estados (FAPs)"	3												25-29	14/out	9/mai	4/jan	9/mai	2/jan	11/ago	Sim	Sim	Sim, em algumas das minhas publicações	"Presencial;Telefone;E-mail;WhatsApp;Webinários;Seminários"	No setor público, como professor de Ensino Superior e Pesquisador	Parcialmente insatisfeito	Não	"Gerenciamento de projetos;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Liderança e gerenciamento laboratorial;Conduta ética na pesquisa;Rede de contatos;Produtividade pessoal"	"Escrita de artigos científicos;Escrita de projetos;Pesquisa interdisciplinar;Rede de contatos;Produtividade pessoal"	35-36	"Português;Inglês;Espanhol;Alemão"	Casado(a)	Não	Paraná (PR)	Homem cisgênero	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Química Analítica	Química Analítica	2021	Eletroquímica e Eletroanalítica	Minas Gerais (MG)	Nenhum	Sim, acima de 12 meses	Sim, com carteira assinada	Não	Nenhum	Sim, sou associado	Minas Gerais (MG)	Funcionário público mas não pesquisador/professor																															15-19	14/out	4/jan	Nenhuma	Nenhuma	Nenhuma	7/abr	Sim	Sim	Não, concordo com a ordem de autoria de todas as minhas publicações	Presencial	No setor público, como professor de Ensino Superior e Pesquisador	Insatisfeito	Sim, na academia	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Ensino/Lecionar;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Conduta ética na pesquisa;Equidade e diversidade;Transferência de conhecimento, inovação e empreendedorismo;Comunicação e divulgação científica"	"Escrita de artigos científicos;Escrita de projetos;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Rede de contatos"	35-36	Português	Solteiro(a)	Não	Minas Gerais (MG)	Homem cisgênero	Pardo(a)	Sim
Li e concordo em participar da pesquisa	Farmácia, Farmácia-Bioquímica	Química Orgânica	Química Orgânica	2016	"Fotoquímica;Química de Materiais;Química Medicinal;Química Orgânica"	Rio de Janeiro (RJ)	Sim, um pós-doutorado	Não	Sim, sem carteira assinada	Sim, no doutorado	De 6 a 12 meses	Sim, sou associado	Rio de Janeiro (RJ)	Professor Universitário (Setor Público)											0-12 meses	Universidade federal	CAPES	Parcialmente insatisfeito	"Sim, aluno de iniciação científica;Sim, mestrandos;Sim, doutorandos"	11/set	2/jan	Fundações de amparo à pesquisa dos estados (FAPs)	Nenhum												15-19	9/mai	9/mai	9/mai	9/mai	2/jan	11/ago	Parcialmente	Sim	Sim, em algumas das minhas publicações	E-mail	No setor público, como professor de Ensino Superior e Pesquisador	Parcialmente satisfeito	Não	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Liderança e gerenciamento laboratorial;Conduta ética na pesquisa;Rede de contatos;Produtividade pessoal"	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Liderança e gerenciamento laboratorial;Produtividade pessoal"	35-36	"Português;Inglês"	Casado(a)	Não	Rio de Janeiro (RJ)	Homem cisgênero	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Química Inorgânica	Ciências - Química	2018	"Química Inorgânica;Química Medicinal"	São Paulo (SP)	Sim, um pós-doutorado	Não	Não	Sim, no doutorado	De 6 a 12 meses	Sim, sou associado	Rio de Janeiro (RJ)	Professor Universitário (Setor Público)											36-48 meses	Universidade federal	Fundações de amparo à pesquisa dos estados (FAPs)	Parcialmente Satisfeito	Sim, aluno de iniciação científica	3/jan	Nenhum	Sem financiamento	Nenhum												14/out	9/mai	9/mai	4/jan	4/jan	Nenhuma	7/abr	Sim	Sim	Outros	"Presencial;Telefone;E-mail;WhatsApp;Seminários"	No setor público, como professor de Ensino Superior e Pesquisador	Parcialmente satisfeito	Não	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Ensino/Lecionar;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Liderança e gerenciamento laboratorial;Conduta ética na pesquisa;Equidade e diversidade;Gerenciamento de carreira;Produtividade pessoal;Transferência de conhecimento, inovação e empreendedorismo;Comunicação e divulgação científica"	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Ensino/Lecionar;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Liderança e gerenciamento laboratorial;Conduta ética na pesquisa;Gerenciamento de carreira;Produtividade pessoal"	33-34	"Português;Inglês;Italiano"	Casado(a)	Não	Paraná (PR)	Mulher cisgênera	Branco(a)	Sim
